Company Name,rows,industry,website,title_sample,reason_top,pair_counts,invest_counts,initial_label,confidence,auto_reason,desc_sample,keywords_sample,headline_sample
GrowthLab Finance-as-a-Service,2,Accounting,http://www.growthlabfinancial.com,CEO | HR Business Partner,Accounting firm - service provider,{'No->Yes': 2},{'No': 2},No,medium,service_provider_conflict,"GrowthLab is a Finance-as-a-Service (FaaS) company dedicated to empowering Founders, Entrepreneurs, and Management Teams with comprehensive financial and operational support.

Our GL CFO Suite is a strategic partnership designed to help you scale and succeed. We provide a full suite of services, including Accounting, Financial Planning & Analysis (FP&A), CFO, Business Tax, HR, and Workflow Automat","business modeling, financial modeling, startups, entrepreneur, finance, business intelligence, accounting services, financial services, strategy, data analytics, data modeling, small businesses, business tax, fractional hr, financeasaservice, hrasaservice, business services, accounting, enterprise s","Growthlab CEO | Faas Pioneer, Strategic Finance For The Entrepreneurial Journey"
Guernsey Holdings,2,Food & Beverages,http://www.guernseyholdings.com,Founder & Chief Executive Officer | Vice President Operations,Does not match ICP (food & beverages),{'No->Yes': 2},{'No': 2},No,medium,service_provider_conflict,"Our mission is to grow our people, our companies and the communities we operate in.","food & beverage services, private holding company, operating companies, consumer-facing businesses, investment firm, acquisition strategy, flexible capital, long-term commitment, disciplined investment, recurring cash flows, guest satisfaction, brand portfolio, restaurant franchising, financial plan",Founder & Chief Executive Officer Of Guernsey Holdings
"Gulfshore Insurance, Acrisure Agency Partner",2,Insurance,http://www.gulfshoreinsurance.com,Partner & Client Advisor | Executive Vice President & Managing Partner,Insurance company,{'No->Yes': 2},{'No': 2},No,medium,service_provider_conflict,"""Where relationships & trust are built.""​ Gulfshore Insurance has been building relationships & trust in Florida for over 50 years. Today, we have over 130 professionals working to assist our clients in the management of their business and personal risk. Through our relationships with many of the most admired insurers in the country, we help protect our clients from the unexpected.","commercial insurance, employee benefits, personal insurance, risk management, private risk services, business insurance, cyber insurance, surety bonding, financial services, property insurance, auto insurance, home insurance, life insurance, hurricane resources, insurance solutions, insurance agency",Partner & Client Advisor
Gusrae Kaplan Nusbaum PLLC,3,Law Practice,http://www.gusraekaplan.com,"Senior Partner | Partner, Trials And Appeals | Partner",Law firm mentioning PE/FO/IS/SF,{'Maybe->Yes': 3},{'No': 3},No,medium,service_provider_conflict,"Established in 1975, Gusrae Kaplan has developed into a leading boutique law firm providing a range of legal services to public and privately-held entities and wealthy individuals around the globe. Located in the heart of Wall Street, our clients include financial institutions, broker-dealers, investment advisors, Fortune 500 companies, hedge funds, investors, private equity and venture capital fi","corporate, securities transactions, arbitration, litigation, sec, cftc, sro compliance, defense, regulatory, brokerdealer, regulatory compliance, corporate governance, commercial litigation, foreign client representation, investment adviser compliance, broker-dealer formation, strategic legal counse",Senior Partner At Gusrae Kaplan Nusbaum Pllc
HINGE Advisors,1,Primary/secondary Education,http://www.hingeadvisors.com,Founder & CEO ,Primary/Secondary Education - not ICP,{'No->Yes': 1},{'No': 1},Yes,medium,conflict_but_explicit_ma,"Formed in 2003, HINGE Early Education Advisors is the nation's leading expert in growing and selling childcare businesses — successfully closing more than 300 early education transactions over the years. The HINGE team, comprised of former childcare business owners, financial experts, and commercial and real estate brokers, has more than 300 years of combined industry experience and proudly mainta","financial strategy, early education business, business broker, business valuation, profit, loss reports, business growth, financial growth, planning, early education events, real estate investment, funding for growth, connecting buyers, sellers, real estate site selection, sale, leaseback transactio",Founder & CEO At Hinge Advisors
Hand Baldachin & Associates LLP,3,Law Practice,http://www.hballp.com,Partner,Law firm mentioning PE/FO/IS/SF,{'Maybe->Yes': 3},{'No': 3},No,medium,service_provider_conflict,"HBA works with businesses in all aspects of their corporate life, from formation and day-to-day business matters, through capital formation, capital restructuring and mergers and acquisitions transactions. 

We focus on deals across several industries including: media; sports and entertainment; fashion and lifestyle brands; publishing as well as technology and healthcare including life sciences. H","startups, venture capital, private equity, mergers, acquisitions, outside general counsel, securities litigation, arbitration, commercial litigation, intellectual property, media, technology, sports, entertainment, fashion, retail, lifestyle, complex commercial litigation, fashion law, media & techn",Partner At Hand Baldachin & Associates Llp
Harper Meyer,4,Law Practice,http://www.harpermeyer.com,Partner | Attorney & Partner,Law firm mentioning PE/FO/IS/SF,{'Maybe->Yes': 4},{'No': 4},No,medium,service_provider_conflict,"Harper Meyer LLP is a full service Miami law firm offering its clients highly personalized attention. Our attorneys are involved in nearly all legal aspects of the commercial world, including the planning and coordination of business and family offices, the operations of which are based in Florida and the rest of the US, or inbound to the US from abroad. We assist our clients with their legal need","full-service law firm, miami attorneys, corporate law, international law, trusts & estates, tax planning, immigration law, commercial litigation, real estate transactions, mergers & acquisitions, banking & finance, art law, yacht transactions, aviation law, intellectual property, family office servi",Partner At Harper Meyer
Hedman Partners LLP,6,Accounting,http://www.hedmanpartners.com,"Audit Partner, Ebp Practice Leader, Caas Partner | Managing Partner | Partner",Accounting firm - service provider,{'No->Yes': 6},{'No': 6},No,medium,service_provider_conflict,"Hedman Partners, LLP is a full-service Certified Public Accounting (CPA) firm dedicated to helping ""middle-market"" businesses and high-net-worth individuals navigate today's complex financial landscape. Our clients, typically businesses with revenues between $10M and $100M, operate across multi-state and international markets.

Our team of seasoned professionals provides a comprehensive suite of s","distribution, real estate, software, beauty, caas, consulting, mergers, acquisitons, audits, tax, cpa services, business advisory, tax planning, audit services, financial consulting, employee benefit plan audits, real estate services, investment banking, mergers & acquisitions, due diligence, financ","Audit Partner, Ebp Practice Leader, Caas Partner"
Hollencrest Capital Management,2,Investment Management,http://www.hollencrest.com,Managing Director - President & Chief Investment Officer | Owner,Family Office,{'Yes->No': 2},{'Yes': 2},Maybe,medium,finance_with_service_signals,"Founded in 1999, Hollencrest has grown into one of the largest boutique wealth management firms in Southern California, with nearly $3 billion in client assets. We primarily serve corporate executives, entrepreneurs, and multi-generational families/family offices. We utilize a multi-strategy approach to build customized portfolios and specialize in alternative investments including real estate (mu","wealth management, consulting services, exit strategies for business owners, services for the ultra affluent, private investments, real estate, private equity, venture capital, family office, business advisory, customized wealth strategies, financial planning, tax planning, estate planning, financia",Managing Director - President & Chief Investment Officer
Hunter Street,4,Financial Services,http://www.hunterst.com,Partner | Investments | Partner | CEO & CIO | Partner | COO & CFO,Private Equity,{'Yes->No': 4},{'Yes': 4},Maybe,medium,finance_with_service_signals,"Hunter Street is a Minneapolis-based alternative investment management firm that provides creative capital solutions to operating partner teams and small to mid-sized companies for special situations, asset-based financings, and secondary purchases. The firm is focused on special opportunities across corporate finance, real estate, and specialty finance. Learn more about Hunter Street at www.hunte","real estate, corporate finance, specialty finance, investment, investment solutions, opportunistic investing, asset management, capital solutions, private equity, operational expertise, real estate investments, financial assets, market inefficiencies, capital preservation, risk management, strategic",
"IP Capital Partners, LLC",3,Real Estate,http://www.ipcappartners.com,Co-founder And Chief Investment Officer | Executive Managing Director - Head Of Investment Management | Vice President - Acquisitions,Private Equity,{'Yes->No': 3},{'Yes': 3},No,medium,service_provider_conflict,"IPCP is a private real estate investment and asset management company headquartered in Boca Raton, Florida. 

The Company was formed to focus on co-investing with institutional and high net worth joint venture partners to acquire office, retail, and industrial real estate in the major growth markets of Florida.","investment management, private equity, venture capital, asset management, capital allocation, portfolio diversification, financial advisory, strategic investments, equity financing, due diligence, risk assessment, market analysis, fundraising strategies, investor relations, mergers & acquisitions, s","Co-founder And Chief Investment Officer At Ip Capital Partners, Llc"
Investment Office Resources (IOR),1,Investment Management,http://www.iorllc.com,Partner - Quantitative Analytics & Risk Management,Investment management - institutional allocator,{'Maybe->No': 1},{'Yes': 1},Maybe,medium,finance_with_service_signals,"IOR is a platform designed to help Chief Investment Officers and investment offices access investment talent, subject matter expertise, and industry know-how in a flexible, budget-friendly structure. IOR partners with in-house investment teams to expertly discharge the responsibilities of a sophisticated asset owner. We function as part of your staff and can be hired on a full or part-time basis. ","investment office, resourcing solutions, specialty resources, investment advisory, financial consulting, risk management, portfolio management, alternative investments, investment strategy, discretionary services, investment performance, capital allocation, expertise optimization, investment committ",Partner - Quantitative Analytics & Risk Management
Ironwood Capital,4,Financial Services,http://www.ironwoodcap.com,President | Partner And Chief Financial Officer | Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 4},{'No': 4},Maybe,medium,finance_with_service_signals,"Ironwood Capital provides non-control junior capital to middle market companies across the U.S.  The firm has invested more than $1 billion in over 100 companies since 2001 and currently invests subordinated debt and minority equity in amounts ranging from $10 million to $50 million.  Ironwood's investments support business owners and financial sponsors in growth financings, recapitalizations, gen","mezzanine finance, private equity, growth capital, middle market, subordinated debt, environmental services, consumer services, manufacturing, recapitailzations, generational transitions & buyouts, minority equity, environmental technology, precision manufacturing, aerospace, defense, healthcare, fa",Multifamily Acquisitions
Jacko Law Group,1,Legal Services,http://www.jackolg.com,Chief Executive Officer,Law firm mentioning PE/FO/IS/SF,{'Maybe->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"Jacko Law Group, PC is a dedicated team of professionals with broad and extensive backgrounds in the securities, corporate and financial industries. As a firm, we leverage the collective knowledge and abilities of our attorneys and professional staff to fully achieve each client's particular goals and to deliver services with efficiency.
Our Firm represents a wide range of clients from two person ","sec regulatory compliance, corporate counsel, investment adviser, broker-dealer, private fund advisory, financial professionals, regulatory examinations, compliance services, regulatory filings, business formation, mergers & acquisitions, contract review, due diligence counsel, expert witness, risk ",Chief Executive Officer At Jacko Law Group
Joyal Capital Management,1,Investment Management,http://www.joycapmgt.com,CEO,Family Office,{'Yes->No': 1},{'Yes': 1},Maybe,medium,finance_with_service_signals,"Joyal Capital Management, LLC is a fully integrated financial services firm based in Plymouth, MA.  Founded in 1982, and with an unrelenting commitment to client and customer satisfaction, Joyal Capital Management, LLC is focused on providing ""Total Plan Integration,""​ which involves highly customized solutions that align the Estate, Business and Financial plans of its clients.  Joyal Capital Mana","estate & tax planning, wealth management, franchise development, real estate finance & investments, mergers, acquistions, private lending, private equity, family office, traditional estate planning, private family office, family office experience, business planning, estate tax analysis, trust admini",CEO -founder At Joyal Capital Management
"Kimbell Royalty Partners, LP",3,Oil & Energy,http://www.kimbellrp.com,President And Chief Financial Officer | Executive Vice Chairman Of The Board Of The General Partner | Vice President - Finance And Ir,Does not match ICP (oil & energy),{'No->Yes': 3},{'No': 3},No,medium,service_provider_conflict,"Kimbell Royalty Partners, LP (NYSE: KRP) is an oil and gas mineral and royalty variable rate master limited partnership based in Fort Worth, Texas.  KRP is managed by its general partner, Kimbell Royalty GP, LLC, and owns mineral and royalty interests in approximately 5.7 million gross acres in 20 states and in nearly every major onshore basin in the continental United States, including ownership ","oil & gas production, energy, royalty interests, mineral ownership, investor relations, cash yield, distribution history, tax information, corporate governance, publicly traded, mineral rights, royalty payments, active wells, oil & gas, leading basins, permian basin, eagle ford, bakken, appalachia, ",President And Chief Financial Officer Of Kimbell Royalty Partners Lp (nyse: Krp)
Large Practice Sales,1,Financial Services,http://www.largepracticesales.com,Founder & Principal,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Maybe,medium,finance_with_service_signals,"Large Practice Sales (LPS) has completed over $1.0 billion of IDSO (Invisible Dental Support Organization) partnerships in the last 24 months for GPs and all specialists. Doctors sell 51% to 80% of their practice for cash at today's low tax rates and continue to lead their practice as owners with full autonomy for years or decades. Contact us today to schedule an introductory call with Co-Founder,","private equity, dental support organizations, dso, mergers & acquisitions, oral surgery, orthodontics, pediatric dentistry, general dentistry, endodontics, periodontics, implant dentistry, idso, advisor, dentistry, dental entrepreneur, dental practice owner, dental partnership, practice monetization",Founder At Large Practice Sales
Lead Media,1,Information Technology & Services,http://www.lead.com,Chief Executive Officer,Information Technology & Services - not ICP,{'No->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"Leading a powerful, diverse, purpose-driven team of professionals providing the best information, resources and data available.","addiction, substance abuse, rehab, recovery, mental illness, alcoholism, drug addiction, addiction recovery, cooccurring disorders, alcohol abuse, technology, information & media, investment firm, early-stage investment, internet companies, software companies, technology companies, venture capital, ",CEO | CMO @ Lead Media: 15 Years Experience | Leadership | Digital Marketing | Multi-channel | Performance | Growth | Revenue | Product
Legion Capital,1,Financial Services,http://www.legioncapital.com,Executive Administrative Director To CEO / Lending Operations Manager,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Maybe,medium,finance_with_service_signals,"Legion Capital (Ticker Symbol: LGCP) is a publicly traded FinTech driven private equity lender focused on specialized lending to real estate developers, business owners, and entrepreneurs. We provide bridge funding, acquisition, development and growth capital to companies and projects in targeted industries. Legion also takes equity ownership in select companies and projects.","business lending, private equity, investments, business loans, specialized lending, bridge funding, acquisition finance, development capital, growth capital, small business lending, real estate developers, tailored financing, proven transaction underwriting, debt investment products, equity ownershi",Executive Administrative Director To CEO / Lending Operations Manager
Leonard Holding Company,2,Investment Management,http://www.leonardhc.com,CEO-leonard Holding Company Family Office | Executive Administrator To CEO/CFO & Event Planner,Family Office,{'Yes->No': 2},{'Yes': 2},Maybe,medium,finance_with_service_signals,Leonard Holding Company is the third generation; family owned business which is the parent company to our family of businesses.,"family-owned, third-generation, food manufacturing, surlean foods, charitable giving, community support, real estate investments, meatpacking, sustainability, financial analysis, cold storage, food production, leadership development, administrative services, human resources, accounting services, inf",CEO Of Leonard Holding Company Family Office CFO Of Surlean Foods
"Lipschultz, Levin & Gray",4,Accounting,http://www.thethinkers.com,Owner | Partner,Accounting firm mentioning PE/FO,{'Maybe->Yes': 4},{'No': 4},No,medium,service_provider_conflict,"Lipschultz, Levin & Gray, LLC provides accounting, tax and consulting services to mid-size and large privately held companies. Our progressive management style focuses on communication and relationship building. LLG serves clients in manufacturing and distribution; real estate and construction; professional practice, benefit plans, family office, non-profits; service and technology and internation","accounting services, tax services, consulting services, business audits, financial forecasts, cash flow management, outsourced accounting, tax preparation, multi-state tax planning, tax authority representation, tax credits, employee benefit plan audits, audit services, client relationship managemen",
Long Ridge Equity Partners,1,Financial Services,http://www.long-ridge.com,Partner/ Chief Financial Officer / Chief Compliance Officer,Corporate Buyer,{'Yes->No': 1},{'Yes': 1},Maybe,medium,finance_with_service_signals,"Founded in 2007, Long Ridge invests in growth stage companies that are transforming financial and business technology. 

With $1.75 billion under management, Long Ridge partners with visionary entrepreneurs to build sector leaders. The firm's collaborative approach, coupled with deep industry expertise, makes Long Ridge the partner of choice for industry-leading management teams. Representative in","financial services, business technology, growth investing, financial technology, investment management, private equity, supply chain compliance, customer engagement, identity verification, wealth management solutions, debt recovery services, risk management, healthcare administration, data analytics",Partner/ CFO/ Cco | Cpa @ Long Ridge Equity Partners
"Merger & Acquisition Services, Inc.",1,Insurance,http://www.maservices.com,CEO & Principal,Insurance company,{'No->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"Merger & Acquisition Services, Inc. provides specialist investment, advisory and financial services specifically to participants within the insurance industry. For over 25 years, Merger & Acquisition Services, Inc. has been helping our clients achieve their strategic and financial goals.

Investment banking and securities transaction offered through and completed by Merger & Acquisition Capital Se","insurance mergers & acquisitions, capital raising, books of business, programs & fronting, valuation services, mergers, acquisitions, merger services, acquisition services, investment banking, financial advisory, insurance investment banking, insurance services, divestitures, transaction advisory, s",Insurance Investment Banking Professional
Monahan Mijares CPA,2,Accounting,http://www.monahanmijares.com,Partner | Managing Partner,Accounting firm mentioning PE/FO,{'Maybe->Yes': 2},{'No': 2},No,medium,service_provider_conflict,"Our Mission: To Strengthen our client's affairs by providing reliable tax and business support solutions.

Our Firm:

Monahan-Mijares CPA is a third generation fast-growing Certified Public Accounting firm specialized in U.S. and International Taxation, we offer our national and multinational clients personalized services in Taxes, Accounting, Business Structures, Business Setup, Virtual Office an","us taxes, bpo services, business setup, accounting services, outsourcing administrative services, family office, business structures, international taxes, local taxes, multi state taxes, sales taxes, 1099, tax compliance, business taxes, individual taxes, quickbooks, bilingual, bicultural, spanish s",Partner
Möbius,1,Investment Management,http://www.mobius.com.br,Co-founder,Investment management - institutional allocator,{'Maybe->No': 1},{'Yes': 1},Maybe,medium,finance_with_service_signals,"A Möbius é uma gestora com foco em investimentos alternativos de alto retorno com expertise em crédito estruturado e ativos judiciais.

Seus sócios possuem longo histórico de sucesso na originação e estruturação de operações complexas.

Acreditamos que gestores e investidores devem estar sempre do mesmo lado, em um relacionamento com objetivos alinhados.","investimentos, gestao de recursos, credito, investimentos alternativos, mercado financeiro, ativos judiciais, legal claims, reestruturacao de divida, corporate financing, corporate debt, alternative investments, high returns, credit restructuring, judicial assets, financial consulting, venture debt,",The Möbius Project
NEXT Legal PLLC,3,Legal Services,http://www.nextlegal.us,Partner,Law firm mentioning PE/FO/IS/SF,{'Maybe->Yes': 3},{'No': 3},No,medium,service_provider_conflict,"NEXT is a new generation of lawyers committed to providing its clients dedicated, fast, and cost-effective legal services.

NEXT is a Miami-based corporate and real estate transactions law firm. We specialize in venture capital (VC), mergers & acquisitions (M&A), complex real estate transactions, investment funds, general business law, and food & beverage (F&B).

NEXT assists clients based outside","venture capital, mergers, acquisitions, real estate, investment funds, general business law, food, beverage, real estate transactions, business financing, mergers & acquisitions, cross-border transactions, hospitality law, startup structuring, angel investing, private equity, business life cycle, ca",Partner
"Padgett, Stratemann & Co., L.L.P.",1,Accounting,http://www.padgett-cpa.com,Partner,Accounting firm mentioning PE/FO,{'Maybe->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"Padgett Stratemann's experienced professionals provide a range of sophisticated accounting, audit, tax, and advisory and consulting services to meet your individual and business needs. We offer clients global solutions while maintaining the personal approach you have come to expect from working with a local firm. Ranked in 2015 by INSIDE Accounting Today as the nation's 99th largest CPA firm and o","assurance, tax, business operations, consulting, human resources consulting, risk advisory services, valuation services, tax consulting, audit services, financial consulting, middle market focus, mergers & acquisitions, managed services, risk management, fraud prevention, cybersecurity, financial re","Partner At Padgett, Stratemann & Co., Llp"
Partners for Growth,3,Financial Services,http://www.pfgrowth.com,"Managing Director And CEO | Owner | Managing Director, Head Of Business Development And Investor Relations",Financial firm with investment signals (financial services),{'Maybe->Yes': 3},{'No': 3},Maybe,medium,finance_with_service_signals,"Partners for Growth specializes in tailored debt solutions for entrepreneurs driving global growth in tech and innovation. With a history spanning almost four decades, we've collaborated with over 230 companies from more than 20 countries in tech-centric sectors. Our expertise is crafting customized debt and asset-backed financing solutions for high-growth companies designed to accelerate key stag","specialty lending, custom debt solutions, venture debt, growth capital, growth debt, asset backed lending, asset backed financing, asset-backed financing, capital sourcing, entrepreneurial partnerships, flexible financing, financing alternatives, specialty finance, fintech lending, venture funding, ",Managing Director And CEO
Plenus LLC (PKF International's Official Member Firm),1,Accounting,http://www.plenuscpas.com,Partner,Accounting firm mentioning PE/FO,{'Maybe->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"Plenus is a leading public accounting and consulting firm dedicated to delivering an extraordinary level of service to our clients. As an official member of PKF International (https://www.pkf.com/), one of the world's top 15 global accounting networks, we offer the strength of an international alliance while maintaining a personalized approach tailored to each client's unique needs.","corporate tax, business management family office, international tax, audit assurance services, tax credits incentives, individual tax, state local tax, mergers acquisitions, valuation advisory, consulting & compliance, employee benefit plan audits advisory services, partnership tax, trusts estates",Partner At Plenus Consulting Group
"Pray Walker, P.C.",2,Law Practice,http://www.praywalker.com,Managing Partner | Partner,Law firm mentioning PE/FO/IS/SF,{'Maybe->Yes': 2},{'No': 2},No,medium,service_provider_conflict,"For nearly fifty years, Pray Walker's sought-after experience in problem-solving has led both large and small clients to trust Pray Walker with their important legal matters, business transactions, litigation, as well as contractual and dispute resolution matters and personal matters. We are a full-service business and litigation law firm working with local, regional, national and international cl","business law, complex business & commercial litigation, labor & employment law, energy transactions, energy litigation, estate planning, real estate, personal injury & insurance litigation, title opinions, full-service law firm, legal advice, business transactions, civil litigation, risk mitigation,",Managing Partner
"Punch & Associates Investment Management, Inc.",4,Investment Management,http://www.punchinvest.com,"Managing Partner, Wealth Strategies Group | Managing Partner | Managing Partner And Portfolio Manager",Family Office,{'Yes->No': 4},{'Yes': 4},Maybe,medium,finance_with_service_signals,"Punch & Associates is a Minneapolis-based asset management and wealth planning boutique serving a select number of institutions and families of substantial wealth.  Founded in 2002, Punch is a nationally recognized, 100% employee-owned investment firm with a strong history of delivering superior investment performance and exceptional client service.","small, micro cap equity, large cap equity, investing for income, wealth planning, behavioral finance, investment advisory, family office, holistic financial planning, income strategy, large cap strategy, small cap equity, investment performance, client service, exclusive client relationships, contra","Managing Partner, Wealth Strategies Group At Punch & Associates Investment Management, Inc."
Quantum 9,1,Alternative Medicine,http://www.quantum9.net,CEO,Does not match ICP (alternative medicine),{'No->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"Quantum 9 is a Chicago-based, cannabis consulting firm that helps entrepreneurs win licenses and start cannabis businesses. Since 2012, our consultants have helped clients become cannabis business owners in over 27 US states and 6 countries.","cannabis consulting, marijuana consulting, marijuana consultant, cannabis consultant, cannabis license acquisition services, cannabis marketing, cannabis investor services, license application, business planning, licensing services, marijuana business, m&a advisory, psilocybin consulting, post-licen",CEO Of Quantum 9 | Cannabis & Psilocybin Consulting Firm (est. 2012)
Rebalance Capital,2,Financial Services,http://www.rebalancecap.com,Managing Partner And Founder | Co-founder And Managing Partner,Private Equity,{'Yes->No': 2},{'Yes': 2},Maybe,medium,finance_with_service_signals,"Rebalance Capital is venture capital firm dedicated to propelling upward economic mobility for low and middle income communities. We invest in Series A and B FinTech and WorkforceTech companies, and pride ourselves on the trust we've earned as an innovation screen for Human Resources and Financial Services leaders in regulated and complex organizations.","alternative investments & venture capital, fintech, workforcetech, investment, b2b marketplaces, b2b2c distribution, upward mobility, financial security, career success, human capital, corporate finance, impact investing, mergers & acquisitions, fundraising strategy, executive search, startup suppor",Founder And Managing Partner Of Rebalance Capital
Rooney Law,1,Law Practice,http://www.rooney.law,Managing Partner,Law firm mentioning PE/FO/IS/SF,{'Maybe->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"Rooney Law represents individuals and businesses throughout the global economy. Whether you're forming a business, fundraising (all stages), engaging in cross border transactions, applying for business immigration visas, facing a lawsuit, having employment disputes or intellectual property matters, your goals become our goals.  

Our team prides themselves in providing personal, flexible, and soph","commercial litigation, corporate transactions, intellectual property, mergers & acquisitions, securities, fundraising, labor & employment, trust & estates, international transactions, legal services, fund-raising","Delivering Strategic And Comprehensive Legal Counsel To Start-up, Emerging, And High-growth Companies With A Broad Range Of Private Equity, Venture Capital, Institutional, And Family Office Investors."
Rosenberg Associates,3,Management Consulting,http://www.rosenbergassoc.com,Managing Partner | Partner,Management consulting with M&A signals,{'Maybe->Yes': 3},{'No': 3},No,medium,service_provider_conflict,"𝑪𝒐𝒏𝒔𝒖𝒍𝒕𝒊𝒏𝒈 𝑺𝒆𝒓𝒗𝒊𝒄𝒆𝒔 𝒇𝒐𝒓 𝑪𝑷𝑨 𝑭𝒊𝒓𝒎𝒔 » 𝑷𝒓𝒂𝒄𝒕𝒊𝒄𝒆 𝑴𝒂𝒏𝒂𝒈𝒆𝒎𝒆𝒏𝒕 𝑩𝒐𝒐𝒌𝒔 » 𝑹𝒐𝒔𝒆𝒏𝒃𝒆𝒓𝒈 𝑺𝒖𝒓𝒗𝒆𝒚

We are experts in CPA firm management best practices. Our services are designed to improve CPA firms' profitability, growth, and management effectiveness.

- Founder Marc Rosenberg, CPA, has served the accounting industry for over 20 years as a nationally recognized consultant, author, and speaker on CPA firm partner","partner compensation, retirement, mergers, succession planning, strategic planning, business consulting & services, cpa consulting, partner buyout, m&a advisory, private equity consulting, firm governance, hr consulting, leadership development, partner coaching, advisory services, partner agreements",Managing Partner
"Sheley, Hall & Williams, P.C.",5,Real Estate,http://www.sheleyhall.com,Partner | Managing Partner,Private Equity,{'Yes->No': 5},{'Yes': 5},No,medium,service_provider_conflict,"Atlanta's Sheley, Hall & Williams is a boutique real estate law firm offering specialized expertise and representation to clients in all areas of commercial real estate, including leasing, development, acquisitions, dispositions, joint ventures and real estate finance.

Sheley, Hall & Williams represents institutional portfolio owners, private equity real estate funds, development companies, corpo","leasing office, retail, industrial, mixeduse, transactional, joint ventures, finance & local counsel, development mixeduse, buildtosuit, hotel transactions, contract negotiation, real estate law, commercial leasing, asset management, property development, transactional law, finance transactions, leg","Partner At Sheley, Hall & Williams, P.c."
South Central Inc,1,Investment Management,http://www.southcentralinc.com,Chief Executive Officer,Family Office,{'Yes->No': 1},{'Yes': 1},Maybe,medium,finance_with_service_signals,"South Central Inc is an Indiana family business dedicated to growing other business legacies. What started in 1946 as a family-owned communications company grew into a team of experts in long-lasting entrepreneurship. We've walked in your shoes, we're on your side, and we're ready to help your legacy live on. Let's build your custom approach to growth.","family business, entrepreneurship, business stewardship, legacy building, custom approach, elite board of directors, investment strategies, midwest investments, patient capital, business legacy, succession planning, family office, strategic relationships, investment sourcing, deal diligence, portfol",CEO At South Central Inc
Stella Point Capital,1,Investment Management,http://www.stellapoint.com,Partner,Private Equity,{'Yes->No': 1},{'Yes': 1},Maybe,medium,finance_with_service_signals,"Based in New York City, Stella Point Capital is a private equity firm that enables well-positioned businesses to access transformational growth opportunities. Our value extends beyond funding by providing owners and management teams with senior counsel, operational expertise, and long-range market insight.

Our managing partners have invested over $2 billion of equity capital in more than 35 inves","private equity, human capital, business partnerships, financial growth, company culture, talent development, middle market investment, strategic growth, capital investment, operations support, advisory services, team empowerment, market leadership, business services, consumer insights, logistics sol",Partner
Strategic Wealth Partners,1,Investment Management,http://www.swpconnect.com,CEO,Family Office,{'Yes->No': 1},{'Yes': 1},Maybe,medium,finance_with_service_signals,"Strategic Wealth Partners is a provider of wealth management, financial planning and business transition advisory services.","investment management, wealth management, financial planning, exit planning, tax planning, business valuation, retirement planning, corporate retirement plan management, insurance planning, financial advisor, investment strategy, estate planning, portfolio management, m&a advisory, exit strategy, al",CEO
Syndicated Equities,3,Real Estate,http://www.syndicatedequities.com,President & CEO | Managing Partner,Family Office,{'Yes->No': 3},{'Yes': 3},No,medium,service_provider_conflict,"Syndicated Equities is a private real estate investment firm that was founded in 1986. Since its inception, Syndicated Equities has acquired over $4 billion of institutional-quality real estate on behalf of its clients. We provide investment opportunities to accredited investors, family offices and institutions that seek attractive cash flow and long-term appreciation from real estate. 

Since 198","commercial real estate, real estate investments, private equity, private equity real estate, investment management, wealth management, 1031 exchanges, syndication, joint venture, net lease, brokerage, dsts, 1031 exchange, delaware statutory trust, tic investments, institutional quality, equity inves",President & CEO
The Praedium Group,1,Real Estate,http://www.praediumgroup.com,"Principal, Co-chief Investment Officer",Private Equity,{'Yes->No': 1},{'Yes': 1},No,medium,service_provider_conflict,"The Praedium Group is a privately-held real estate investment firm that was founded 30+ years ago. Since inception, Praedium has sponsored a series of private equity funds, as well as several separate investment vehicles, and has invested over $12 billion of capital on behalf of its clients including public and corporate pension funds, financial institutions, insurance companies, foundations and e","private equity, multifamily properties, investment strategy, asset management, value enhancement, portfolio management, distressed assets, transaction advisory, property acquisition, leasing, market research, financial analysis, esg practices, development consulting, risk assessment, workspace optim",Principal At The Praedium Group
Two Miles,2,Accounting,http://www.twomiles.net,CEO | CFO/COO And Partner,Accounting firm - service provider,{'No->Yes': 2},{'No': 2},No,medium,service_provider_conflict,"Our name ""Two Miles"" comes from the Bible in Matthew 5:41 where Jesus says ""And if anyone forces you to go one mile, go with him two miles."" It represents our commitment to our clients. As our name states, we are committed to going the extra mile and providing quality work in a timely manner.

We are striving to provide you with service that exceeds your expectations. Our goal is to provide the be","strategic tax planning, benefit consulting, tax return preparation, tax audit representation, bookkeeping, sales tax, payroll services, virtual cfo, m&a advisory, tax preparation, financial reporting, accounting solutions, real estate accounting, financial valuation, business consulting, e-pay servi",CEO
